74,15/06/1968,1960s,20:00,Miamisburg,OH,USA,39.64179489,-84.28870706,Sphere,Three Flying Disks lights around them.,N,https://nuforc.org/sighting/?id=179766
75,19/07/1968,1960s,00:30,Lancaster,SC,USA,34.72056878,-80.77091789,Triangle,"I saw a large triangular craft hovering silently , when I approached it began to move off, I ran after it .",N,https://nuforc.org/sighting/?id=176387
76,11/08/1968,1960s,15:30,Hagerstown,MD,USA,39.64148946,-77.72039024,Orb,"A ""Foo Fighter"" INTERACTED with my cousin and I while playing in the backyard. It knew what I was thinking.",N,https://nuforc.org/sighting/?id=197865
77,01/10/1968,1960s,18:08,Verona,MO,USA,36.96395962,-93.79578593,Oval,Metallic craft. Very close 15 ft. in front about 10 ft. off ground,N,https://nuforc.org/sighting/?id=183198
78,04/10/1968,1960s,18:30,Snowflake,AZ,USA,34.51368648,-110.0808801,Triangle,At sunset time triangle object rose up from the hill then disappeared straight west letting sun back in my eyes.,N,https://nuforc.org/sighting/?id=184992
79,17/03/1969,1960s,20:00,Odessa,WA,USA,47.33319657,-118.6907745,Disk,"Brilliant metallic, glowing disc shaped craft with red & blue lights in circle at bottom seen in Odessa, WA, 1969.",Y,https://nuforc.org/sighting/?id=123342
80,30/05/1969,1960s,20:00,Augusta,GA,USA,33.46846191,-82.02844537,Circle,"Craft approached moving slowly, it seemed. There were 2 disc sections. The forward section looked slightly smaller than the aft section",N,https://nuforc.org/sighting/?id=194816
81,10/06/1969,1960s,00:02,Greensboro,NC,USA,36.07303285,-79.79233208,Cigar,A large object with multicolored light all over it was seen outside my bedroom window when I was about 4 years old.,N,https://nuforc.org/sighting/?id=174017
82,17/06/1969,1960s,23:30,Peshawar,Khyber Pakhtunkhwa,Pakistan,34.01418667,71.51601876,Disk,saw three disks hovering over the desert near our installation. Silent. After several minutes shot straight up and disappeared.,N,https://nuforc.org/sighting/?id=186944
83,20/06/1969,1960s,17:02,Richmond,VA,USA,37.54153272,-77.43532454,Orb,A disc with circling lights flew toward us at high speed and circled the steeple of the church.,N,https://nuforc.org/sighting/?id=184170
84,29/08/1969,1960s,20:30,Raritan,NJ,USA,40.57410584,-74.63888452,Triangle,"Close encounter of a hovering ""gun metal gray, metallic platform""",N,https://nuforc.org/sighting/?id=176553
85,30/08/1969,1960s,20:30,Weare,NH,USA,43.09484389,-71.73048878,Disk,200 foot diameter saucer shaped spacecraft hovering 300 feet over our heads.,Y,https://nuforc.org/sighting/?id=197396
86,01/10/1969,1960s,19:00,New York,NY,USA,40.71264029,-74.01728347,Oval,Moved a few ft. In front of car stayed right with us a few miles,N,https://nuforc.org/sighting/?id=186075
87,15/11/1969,1960s,19:30,Bonn,Nordrhein Westfalen,Germany,50.73745136,7.09566181,Formation,"Nightime saw 4 disk shaped lights, 1 light moved slowly then dissappeared. 3 lights remained",N,https://nuforc.org/sighting/?id=183609
